Year,Month,City_ID,CPI_INDEX,HOUSING_AVG_PRICE,GASOLINA_AVG_PRICE,HOUSE_HOLD_PRICE,EMPLOYMENT,CRSPI
2021,1,1,152.3,945200,110.9,127.9,3318.1,96.3
2021,1,2,141.3,372000,115.4,100.1,2179.2,102.3
2021,1,3,175.7,411800,102.8,110.5,814.7,93
2021,1,4,152,594800,110.9,125.4,568.5,97
2021,1,5,178.1,322900,100.9,116.4,734,90.7
2021,1,6,147.7,432070,107.5,98.1,239.3,95.7
2021,1,7,135.4,1059200,134.6,112.4,1458,101.6
2021,1,8,152,553896,110,110.5,312.3,97.1
2021,1,9,156.7,293200,102.9,105.6,419.7,100.1
2021,1,10,128.6,553896,104.1,98.1,134.7,97.1
2021,2,1,152.6,986200,118.1,128.8,3267.7,98.6
2021,2,2,141.4,380500,122.5,106,2175.1,103
2021,2,3,175.5,418300,111.3,114.4,804,93.2
2021,2,4,152.2,630000,117.7,129.9,579.5,101.7
2021,2,5,177.8,326400,109,119.4,740.8,89.2
2021,2,6,149.4,343900,115.4,100.7,238.4,96.7
2021,2,7,134.9,1087700,141.2,114.6,1459.3,102.6
2021,2,8,152.2,559325,117.2,114.4,311.8,98.1
2021,2,9,157.3,301600,109.2,110.7,421.3,100.1
2021,2,10,128.5,559325,110.6,104.9,131.9,98.1
2021,3,1,154.2,1020700,123.8,133.8,3251.8,98.5
2021,3,2,141.5,387200,129.1,109,2184.7,103.1
2021,3,3,176,429300,117.3,120.6,800.7,92.5
2021,3,4,153.1,657700,123.1,132.2,583.5,102
2021,3,5,178.5,333300,114.5,127.7,755.5,87.6
2021,3,6,151,359900,125,109,240,97.2
2021,3,7,137.4,1127200,149.6,123.8,1474.4,102.4
2021,3,8,153.1,577825,124.3,120.6,312.3,97.8
2021,3,9,157.6,307300,115.9,115.2,427.3,99.5
2021,3,10,128.4,577825,120.4,113.9,132.4,97.8
2021,4,1,154.8,1036900,125.9,136.9,3265.1,98.8
2021,4,2,142,385500,128.5,103.6,2206.3,103.9
2021,4,3,176.2,437400,123.6,121.1,802.9,93
2021,4,4,153.5,664800,125.4,140.2,591.8,102.4
2021,4,5,178,339600,119.9,131.7,759.4,89.1
2021,4,6,151.4,382900,125.1,111.2,238.9,99.2
2021,4,7,137.5,1155700,152.2,123.5,1482.2,103.6
2021,4,8,153.5,589788,127.9,121.1,317.1,98.8
2021,4,9,158.4,315500,122.7,112,436.3,100.8
2021,4,10,129.6,589788,127.9,109.6,134.7,98.8
2021,5,1,155.5,1018500,130.2,140,3278.6,100.5
2021,5,2,145.4,386200,133.8,106.8,2226.4,104.1
2021,5,3,177.2,461900,127.3,123,809,93.2
2021,5,4,154.2,649400,129.9,136.5,594.6,102.6
2021,5,5,177.8,375400,123.4,129.7,763.9,90
2021,5,6,150.7,411400,127.6,110.7,235.6,99.1
2021,5,7,137.2,1099100,155.6,128.4,1488.2,103.8
2021,5,8,154.2,591850,131.4,123,318.4,99.3
2021,5,9,159.8,332900,127.8,116.9,442.9,100.9
2021,5,10,129.9,591850,127,114.9,138.4,99.3
2021,6,1,156.6,1021900,132.6,140.2,3311.5,100.2
2021,6,2,146.4,391600,136.4,112.3,2266.9,104.3
2021,6,3,178.3,465500,130.3,124.3,814,94.8
2021,6,4,155.4,642700,131.3,137.1,602.9,102.4
2021,6,5,179.7,377900,125.6,131.8,765.4,90.4
2021,6,6,151.1,425500,129.2,110,235.5,98.9
2021,6,7,138.8,1099300,161.1,133.1,1497.3,103.9
2021,6,8,155.4,595238,133.4,124.3,320.5,99.6
2021,6,9,162.2,337500,127.1,116,445.1,101.5
2021,6,10,130.4,595238,127,114.2,142,99.6
2021,7,1,156.4,1025100,136.4,140.7,3372.5,100.7
2021,7,2,147,402000,139.7,114.6,2304.6,104.3
2021,7,3,182.9,467700,135.6,124.5,816.4,94.4
2021,7,4,156.6,632600,134.7,137.1,610.3,102.8
2021,7,5,181.6,378000,133,132.5,776.4,93.1
2021,7,6,152.2,431600,135.4,111.2,237.1,99.4
2021,7,7,139.3,1095000,169.1,135.2,1513.8,105.2
2021,7,8,156.6,595425,138.6,124.5,320.5,99.5
2021,7,9,162.9,331400,131.5,115.8,448,96.2
2021,7,10,130.3,595425,131.8,109.1,143,99.5
2021,8,1,156.5,1033200,137.2,142.2,3447.3,100.5
2021,8,2,147.6,409200,141.2,114.3,2308.8,104.7
2021,8,3,184.1,465700,135.2,124.7,819.6,94.8
2021,8,4,157.1,625000,135.7,136.9,603.7,103
2021,8,5,182.8,376300,132.3,128.3,784.4,92.5
2021,8,6,152.3,434400,134.1,111.9,242.5,99.9
2021,8,7,139.2,1099400,165.6,136.5,1530.4,105.3
2021,8,8,157.1,597012,138.3,124.7,322.2,99.8
2021,8,9,163.6,332900,131.8,115.9,448.5,98.1
2021,8,10,130.5,597012,131.8,111.9,143.7,99.8
2021,9,1,157.4,1065300,137.9,144.4,3486.4,101.2
2021,9,2,148,413600,143.3,120,2290.6,105.3
