Year,Month,City_ID,Age_0_to_14_years,Age_15_to_64_yrs,Age_65_yrs_and_over,Age_85_yrs_and_over,Female,Male,Married_or_living_common_law,Not_married_and_not_living_common_law,FirstOfficialLanguage,English,French,English_and_French,Neither_English_nor_French
2021,1,1,966421,4224485,993036,131947,3169142,3014809,2877021,2340505,1,5765765,69309,48843,259126
2021,1,2,719700,2793411,765770,103045,2180996,2097880,1916828,1642348,1,860888,3025027,281420,65878
2021,1,3,273341,1005781,196736,22289,742331,733527,712993,489520,1,1404815,19629,7145,32836
2021,1,4,170938,693005,173925,22583,531894,505979,484076,382853,1,825361,158529,26206,15014
2021,1,5,262455,947545,201674,24186,708875,702803,658855,490364,1,1343400,25328,6572,22827
2021,1,6,68758,313098,79695,30569,250729,216071,221164,171114,1,443914,10222,1621,2432
2021,1,7,371387,1803586,276379,58621,1342595,1288270,1277013,982470,1,2429437,25910,14269,137861
2021,1,8,98177,385423,88782,11460,290723,284834,271008,203197,1,548672,5592,2683,10423
2021,1,9,140567,551317,139046,18272,420566,410369,380787,309575,1,781901,24886,3586,12240
2021,1,10,47115,163177,38070,5337,125653,122714,114733,86519,1,239249,2453,603,2800
2021,2,1,966078,4226996,995437,132249,3171247,3017274,2879143,2343295,1,5770445,69247,48789,259195
2021,2,2,720206,2794439,767450,103265,2182478,2099612,1918105,1643779,1,862586,3025814,282072,65953
2021,2,3,273553,1006275,197517,22347,743132,734213,713626,490161,1,1406283,19597,7134,32896
2021,2,4,169934,689348,173481,22536,529272,503495,481612,381216,1,825161,154286,26116,15011
2021,2,5,262799,948117,202370,24238,709733,703558,659415,491072,1,1345020,25290,6567,22875
2021,2,6,68905,313695,79990,29987,247689,218836,221674,171624,1,444942,10228,1628,2438
2021,2,7,371553,1805186,274398,58752,1344048,1289808,1278511,983796,1,2432368,25914,14266,137918
2021,2,8,98280,385955,89013,11484,290326,285303,271364,203604,1,549522,5589,2685,10453
2021,2,9,140705,551777,139384,18278,420993,410878,381188,309973,1,782857,24861,3597,12261
2021,2,10,47169,163230,38175,5345,125761,122818,114807,86603,1,239449,2451,604,2804
2021,3,1,965736,4229507,997838,132551,3173351,3019740,2881265,2346085,1,5775125,69184,48734,259263
2021,3,2,720712,2795466,769130,103485,2183961,2101343,1919382,1645209,1,864284,3026601,282723,66029
2021,3,3,273766,1006768,198298,22405,743933,734899,714259,490803,1,1407750,19565,7123,32955
2021,3,4,168929,685690,173037,22489,526649,501012,479148,379579,1,824960,150042,26026,15007
