years,month,city_id,management_administration,financial_accounting,hr_admin,it_engineering,legal_services,education,healthcare,arts_media,transport,manufacturing_production,skilled_trades,csr,population,umemployment_rate ,employment_in_person
2021,1,1,33.43,37.71,34.03,38.36,37.38,30.53,31.27,29.09,37.18,38.92,39.31,29.09,415000,8,239300
2021,2,1,37.39,38.97,34.45,37.92,35.86,30.1,31,28.12,37.05,38.85,40.24,28.12,415160,8.7,238400
2021,3,1,35.97,36.04,34.19,33.41,38.43,36.2,18.92,29.41,36.57,37.64,37.76,29.41,415320,8.8,240000
2021,4,1,36.96,38.05,33.91,38.08,40.49,36.22,21.35,28.67,37.36,37.88,38.19,28.67,415480,8.2,238900
2021,5,1,32.52,37.71,31.1,38.13,37.15,31.59,29.95,30.46,35.01,38.35,38.62,30.46,415640,9.1,235600
2021,6,1,36.67,38.97,33.01,37.38,37.02,33.8,28.84,27.64,33.71,38.41,39.03,27.64,415800,8.9,235500
2021,7,1,32.8,39.3,32.17,36.74,37.66,36.2,30.36,26.88,34.99,37.27,38.19,26.88,415960,8.7,237100
2021,8,1,32.65,39.26,33.16,39.21,36.27,36.22,31.68,28.33,30.33,36.12,37.74,28.33,416120,7.1,242500
2021,9,1,34.31,41.03,32.43,38.26,39.98,33.46,29.69,28.65,29.29,38.45,38.81,28.65,416280,6.7,244200
2021,10,1,32.74,41.03,34.22,39.96,37.79,33.64,31.58,26.75,28.28,37.51,38.28,26.75,416440,6.2,245000
2021,11,1,33.09,39.97,35.01,41.25,40.47,32.62,31.27,29.67,29.03,38.06,39.16,29.67,416600,6.2,244200
2021,12,1,37.39,40.73,34,41.21,44.44,33.81,31,31.71,29.98,41.49,41.41,31.71,416760,6.1,243500
2022,1,1,34.14,41.75,33.35,39.85,43.77,35.09,29.58,30.63,31.33,38.19,39.46,30.63,417000,6,241600
2022,2,1,34.77,40.3,32.25,41.87,42.14,34.64,30.02,31.15,31.26,40.34,39.25,31.15,417252,5.7,241600
2022,3,1,35.14,40.97,34.28,41,43.47,34.29,29.34,32.08,30.97,37.83,39.37,32.08,417504,5.4,241500
2022,4,1,35.45,39.16,33.1,43.32,48.33,34.45,29.67,33,33.1,40.42,40.59,33,417756,4.8,244900
2022,5,1,34.9,40.8,34.27,40.52,44.15,34.22,25.86,31.25,28.45,40.06,41.09,31.25,418008,6.6,248700
2022,6,1,33.76,42.5,34.13,43.84,43.77,34.76,29.08,31.07,26.52,38.41,40.72,31.07,418260,7.1,254000
2022,7,1,34.93,40.4,34.49,39.25,42.14,35.92,31.02,32.06,28.92,36.69,38.68,32.06,418512,6.1,255600
2022,8,1,34.17,42.58,33.41,41.11,43.47,37.45,31.14,31.44,29.33,39.13,40.35,31.44,418764,6.4,256100
2022,9,1,34.49,43.01,33.26,42.48,43.46,35.95,32.45,33.16,29.8,38.41,38.97,33.16,419016,5.7,255600
2022,10,1,34.43,42.38,33.41,42.12,39.94,35.83,31.93,33.66,29.21,38.3,40.83,33.66,419268,8.5,255900
2022,11,1,34.54,42.68,31.82,41.26,41.84,35.04,32.18,34.32,29.71,40.08,42.22,34.32,419520,6.2,258000
2022,12,1,32.6,40.45,32.79,42.23,41.34,37.05,33.77,35.02,29.34,39.3,42.14,35.02,419772,6.3,258700
2023,1,1,34.86,42.05,34.1,41.21,40.55,34.86,33.38,33.6,28.55,40.18,42.68,33.6,420000,5.9,259800
2023,2,1,32.13,39.32,31.27,43.25,38.75,35.35,33.31,33.76,27.8,39.49,47.31,33.76,420252,8,258800
2023,3,1,35.76,40.78,33.03,44.25,43.09,36.29,32.07,33.74,31.78,42.19,42.68,33.74,420504,7.4,258600
2023,4,1,36.68,41.81,33.5,44.89,42.89,37.51,33.46,33.04,30.75,41.76,43.26,33.04,420756,6.4,259700
2023,5,1,37.31,40.27,35.52,44.17,43.97,36.9,33.89,33.85,31.12,40.1,42.98,33.85,421008,5.7,260400
2023,6,1,35.37,40.64,35.68,47.37,45.46,38.86,33.46,34.08,32.39,40.33,43.2,34.08,421260,5.5,262600
2023,7,1,38.39,41.35,33.5,44.38,45.49,37.72,33.89,33.25,31.87,40.81,42.26,33.25,421512,4,262500
2023,8,1,38.26,41.02,33.1,45.08,45.33,34.86,33.46,32.85,31.95,40.75,41.73,32.85,421764,7.4,263700
2023,9,1,41.26,42.7,33.95,45.31,44.64,35.35,34.35,32.15,31.7,43.24,43.52,32.15,422016,5,262800
2023,10,1,39.87,42.82,33.34,46.63,44.24,36.29,35.99,32.78,30.92,41.71,42.75,32.78,422268,5.2,265100
2023,11,1,39.22,42.7,34.1,45.99,44.54,37.51,35.62,34.26,31.52,41.4,42.24,34.26,422520,5,266900
2023,12,1,38.26,42.82,33.5,44.17,43.97,36.9,33.46,33.25,31.12,42.19,42.68,33.66,422772,7.7,270600
2021,1,2,32.97,40.1,34.52,41.11,39.24,36.32,31.6,30.93,34.99,38.6,39.56,25.96,4247000,5.5,2179200
2021,2,2,34.2,37.09,36.18,41.52,41.32,35.34,33.2,31.01,34.86,40.67,41.13,23.75,4248498,4.9,2175100
2021,3,2,35.24,37.83,35.7,42.01,43.85,35.17,34.42,35.02,35.51,40.01,40.67,23.07,4249996,5.7,2184700
2021,4,2,35.72,39.39,35,43.84,41.23,34.95,34.41,35.11,33.88,39.27,40.33,23.77,4251494,7.6,2206300
2021,5,2,34.54,40.09,34.91,44.31,41.68,34.69,36.43,36.42,33.12,40.73,41.4,24.87,4252992,7.2,2226400
2021,6,2,34.87,39.54,37.64,43.01,42.21,36.04,34.59,34.81,32.68,40.8,41.5,23.48,4254490,5.2,2266900
2021,7,2,33.76,39.6,36.06,43.78,40.79,34.91,35.41,31.67,33.68,39.36,39.84,25.15,4255988,5.1,2304600
2021,8,2,35.29,40.42,36.51,43.1,41.1,35.86,36.29,33.55,34.3,39.73,40.87,24.92,4257486,4.9,2308800
2021,9,2,35.93,43.44,35.79,44.16,43.09,36.85,34.45,32.65,34.62,41.1,41.83,25.66,4258984,4.5,2290600
2021,10,2,34.43,42.45,34.24,44.26,44.83,35.25,34.7,33.27,33.49,39.36,40.78,25.09,4260482,6.2,2289400
2021,11,2,34.83,44.51,35.17,45.37,43.05,35.91,33.74,31.28,34.71,39.29,40.52,26.25,4261980,5.4,2316800
2021,12,2,35.95,43.95,36.54,46.23,46.42,35.77,34.14,34.66,35.35,42.27,41.58,23.42,4263478,5.1,2335100
2022,1,2,34.19,43.47,28.74,44.69,40.87,36.79,32.11,34.14,33.99,43.06,42.94,24.96,4277000,6.5,2318300
2022,2,2,33.58,42.49,33.53,46.2,43.8,36.7,33.22,33.77,34.41,42.02,42.51,24.21,4278823,7.1,2303300
2022,3,2,33.88,41.4,33.67,46.79,46.42,36.46,34.14,34.63,34.37,44.22,44.37,25.64,4280646,7.1,2296700
2022,4,2,36.56,39.87,34.58,45.82,46.49,35.91,33.24,34.64,35.1,42.63,43.52,25.32,4282469,5,2307800
2022,5,2,37.96,42.29,37.72,45.67,45.06,36.91,34.05,34.11,33.75,44.23,44.38,26.58,4284292,4.7,2321100
2022,6,2,37.4,42.78,38.02,46.4,47.01,37.82,36.1,34.92,33.76,44.15,44.75,28.01,4286115,4.9,2333500
2022,7,2,36.89,40.75,38.42,44.29,45.72,36.01,33.84,35.59,35.63,41.77,41.44,25.64,4287938,4.5,2355100
2022,8,2,38.42,43.23,41.18,44.84,43.48,37.65,33.77,35.05,35.37,42.55,43.32,25.32,4289761,6.3,2358200
2022,9,2,36.74,44.69,37.01,45.32,42.79,37.52,34.77,36.24,35,41.3,42.29,26.58,4291584,5.8,2357400
2022,10,2,37.42,40.71,34.56,44.51,43.71,37.28,33.88,35.91,34.49,42.48,43.75,28.01,4293407,4.9,2364800
2022,11,2,37.07,41.8,31.17,44.87,42.91,36.45,34.3,34.93,34.15,42.17,43.78,28.42,4295230,5.6,2377800
2022,12,2,37.24,40.02,36.92,45.28,42.87,37.7,35.66,35.5,34.98,41.06,43.41,27.26,4297053,6.5,2399300
2023,1,2,38.1,42,39.39,44.16,42.95,37.02,36.21,35.83,35.14,41.1,43.7,27.74,4308000,6.3,2408800
2023,2,2,37.35,41.25,37.68,47.67,44.78,36.19,33.47,34.2,34.71,42.86,44.77,25.69,4309451,5,2404900
2023,3,2,37.66,41.82,36.58,47.83,43.45,36.19,33.5,33.97,35.45,43.13,43.89,26.58,4310902,4.3,2396700
2023,4,2,37.44,43.58,38.05,49.73,42.69,37.24,35.16,34.72,35.71,40.96,43.63,26.03,4312353,4.9,2390900
2023,5,2,38.34,45.23,40.37,48.86,43.19,37.12,34.11,36.67,36.19,41.31,43.27,27.22,4313804,4.2,2416200
2023,6,2,37.61,45.49,36.46,49.29,46.71,37.12,33.88,36.23,35.94,43.39,45.87,27.05,4315255,6.3,2437300
2023,7,2,37.89,44.18,38.46,49.61,44.65,36.12,35.3,37.25,36.18,42.01,43.88,26.56,4316706,5.8,2452700
2023,8,2,39.5,44.47,36.3,48.63,45.14,37.83,31.88,33.88,37.14,43.73,44.93,26.39,4318157,4.5,2442200
2023,9,2,38.19,43.82,35.69,48.38,44.46,38.13,37.21,35.82,36.25,42.83,44.05,26.54,4319608,4.7,2436500
2023,10,2,39.84,43.15,36.72,47.67,44.36,39.04,40.33,35.28,36.48,41.98,43.43,27.66,4321059,5.5,2426600
2023,11,2,38.55,43.51,38.52,47.83,46.67,39.35,43.12,36.57,38.12,43.32,44.51,29.09,4322510,5.8,2422400
2023,12,2,37.89,45.49,38.46,49.61,44.78,36.12,34.11,33.97,34.71,40.96,44.77,25.69,4323961,4.8,2413300
2021,1,3,39.86,43.92,42.57,47.52,47.49,40.89,36.23,34.6,39.53,41.27,43.7,27.84,1408000,4.8,568500
2021,2,3,38.06,46.15,43.02,47.89,48.71,40.99,35.19,32.37,40.47,40,42.11,28.66,1409717,5,579500
2021,3,3,34.52,44.66,36.99,44.84,50.4,39.52,31.08,29.52,36.53,40.14,41.98,24.82,1411435,4.2,583500
2021,4,3,37.18,42.37,38.15,43.47,51.8,38.76,32.33,31.06,35.84,40.91,42.27,24.37,1413153,6.3,591800
2021,5,3,37.65,40.97,37.19,42.38,49.67,38.84,33.37,31.79,36.25,39.73,41.34,25.23,1414871,6,594600
2021,6,3,37.73,41,34.88,43.64,47.74,38.04,32.69,30.89,36.71,38.26,40.61,25.27,1416589,4.3,602900
2021,7,3,37.63,41.93,35.76,43.48,49.61,38.21,31.18,32.56,35.32,41.35,42.61,25.29,1418307,3.8,610300
2021,8,3,36.57,41.19,37.54,42.4,48.46,38.89,30.95,31.08,34.27,39.55,41.6,25.8,1420025,5.2,603700
2021,9,3,37.33,40.34,35.87,43.53,49.05,39.73,31.57,29.8,36.35,39.36,41.02,25.62,1421743,5.3,591500
2021,10,3,37.4,42.18,36.52,43.92,48.96,39.8,32.04,32.69,35.86,40.28,42.18,25.58,1423461,4.8,581700
2021,11,3,37.43,43.74,35.53,42.23,49.17,41.14,31.18,30.68,35.93,41.08,41.87,26.19,1425179,5.4,580600
2021,12,3,37.91,44.28,38.19,42.78,49.86,38.3,32.75,34,36.65,41,42.18,26.73,1423000,5.4,582800
2022,1,3,37.74,44.34,35.94,44.33,48.47,38.04,32.22,34.42,36.33,40.68,42.36,26.26,1424717,4.4,579700
2022,2,3,38.14,44.88,35.8,45.38,51.21,38.39,31.9,35.52,36.38,43.54,43.06,25.65,1426435,6.5,585700
2022,3,3,37.26,44.61,36.76,43.52,51.75,39.31,31.46,33.56,36.56,43.75,43.9,25.38,1428153,6.3,590200
2022,4,3,38.23,43.9,36.43,44.35,50.38,39.51,31.85,35.1,37.37,43.24,44.15,24.84,1429871,5.1,603700
2022,5,3,36.99,43.96,36.97,45.79,50.57,39.51,31.49,36.25,37.34,44.38,45.44,25.66,1431589,4.6,613800
2022,6,3,39.33,43.71,36.7,46.46,51.16,38.89,31.75,35.73,38.18,43.38,44.33,25.85,1433307,5.5,617200
2022,7,3,38.82,45.77,37.68,46.3,47.15,38.6,33.34,34.78,36.5,45.36,45.53,25.93,1435025,5.5,619700
2022,8,3,39.23,45.12,37.07,46.89,50.57,38.9,35.38,35.05,36.83,43.53,44.67,26.14,1436743,5,615400
2022,9,3,40.76,42.69,37.99,45.11,51.16,38.98,33.81,36.18,38.02,42.35,44.11,26.36,1438461,5.3,618300
2022,10,3,38.22,46.16,39.01,45.88,47.15,40.05,33.56,35.62,37.44,41.84,43.71,26.44,1440179,5.3,614700
2022,11,3,38.04,46.99,38.69,45.99,47.49,38.61,34.08,36.24,37.16,41.06,43.31,26.82,1441897,4.5,615300
2022,12,3,37.81,45.45,39.42,46.45,48.71,39.09,32.86,35.79,38,42.01,44.57,26.59,1437000,6.5,616300
2023,1,3,38.23,44.71,41.46,47.22,50.4,38.97,33.07,35.21,38.22,41.38,44.6,25.9,1438772,6.1,621500
2023,2,3,38.78,44.01,44.17,47.91,51.8,39.09,34.97,34.76,37.57,41.64,44.39,27.04,1440545,5.3,621700
2023,3,3,39.46,45.27,41.76,46.47,49.67,40.89,34.94,35.47,37.71,42.22,45.18,26.41,1442318,4.6,623000
2023,4,3,39.1,43.42,42.02,48.33,47.74,40.64,32.9,33.81,37.11,44.21,46.6,26.48,1444091,5.8,623100
2023,5,3,40.16,44.61,42.33,47.82,49.61,38.61,32.97,33.78,38.04,41.69,44.56,26.56,1445864,5.4,634300
2023,6,3,38.85,45.24,43.53,49.03,48.46,42.44,33.31,34.32,37.84,41.52,45.51,27.19,1447637,4.6,648900
2023,7,3,38.07,45.88,44.72,49.03,49.05,42.14,34.23,35.22,38.89,41.93,44.24,26.91,1449410,5.3,660000
2023,8,3,38.42,45.77,43.89,49.5,48.96,42.3,34.02,36.5,39.2,43.34,46.19,26.38,1451183,4.8,661300
2023,9,3,37.68,45.35,44.57,48.49,49.17,43.56,34.66,35.37,39.31,43.55,45.97,26.34,1452956,4.1,655900
2023,10,3,38.92,45.93,44.41,48.75,49.86,44.19,35.58,34.17,40.35,42.82,44.96,26.63,1454729,6.5,655400
2023,11,3,38.87,46.15,41.71,47.89,48.47,43.26,33.58,35.76,39.83,43.41,45.31,26.38,1456502,6,652100
2023,12,3,39.86,43.92,42.57,47.52,51.21,40.89,36.23,34.6,39.53,41.27,43.7,27.84,1457891,5.1,653000
2021,1,4,39.06,46.15,43.02,47.89,51.75,40.99,36.19,33.37,40.47,41,43.11,28.66,6255000,3.6,3318100
2021,2,4,34.52,44.66,36.99,44.84,50.38,39.52,31.08,29.52,36.53,40.14,41.98,24.82,6256149,5.3,3267700
2021,3,4,37.18,42.37,38.15,43.47,50.57,38.76,32.33,31.06,35.84,40.91,42.27,24.37,6257298,5.4,3251800
2021,4,4,37.65,40.97,37.19,42.38,51.16,38.84,33.37,31.79,36.25,39.73,41.34,25.23,6258447,4.5,3265100
2021,5,4,37.73,41,34.88,43.64,48.15,38.04,32.69,30.89,36.71,38.26,40.61,25.27,6259596,5.1,3278600
2021,6,4,37.63,41.93,35.76,43.48,50.57,38.21,31.18,32.56,35.32,41.35,42.61,25.29,6260745,6.7,3311500
2021,7,4,36.57,41.19,37.54,42.4,51.16,38.89,30.95,31.08,34.27,39.55,41.6,25.8,6261894,5.8,3372500
2021,8,4,37.33,40.34,35.87,43.53,48.15,39.73,31.57,29.8,36.35,39.36,41.02,25.62,6263043,4.8,3447300
2021,9,4,37.4,42.18,36.52,43.92,47.49,39.8,32.04,32.69,35.86,40.28,42.18,25.58,6264192,4.8,3486400
2021,10,4,37.43,43.74,35.53,42.23,48.71,41.14,31.18,30.68,35.93,41.08,41.87,26.19,6265341,5,3518700
2021,11,4,37.91,44.28,38.19,42.78,50.4,38.3,32.75,34,36.65,41,42.18,26.73,6266490,4,3547900
2021,12,4,37.74,44.34,35.94,44.33,51.8,38.04,32.22,34.42,36.33,40.68,42.36,26.26,6313000,5.6,3587100
2022,1,4,38.14,44.88,35.8,45.38,49.67,38.39,31.9,35.52,36.38,43.54,43.06,25.65,6314150,6.1,3564500
2022,2,4,37.26,44.61,36.76,43.52,47.74,39.31,31.46,33.56,36.56,43.75,43.9,25.38,6315298,4.9,3551700
2022,3,4,38.23,43.9,36.43,44.35,49.61,39.51,31.85,35.1,37.37,43.24,44.15,24.84,6316446,5.2,3523600
2022,4,4,36.99,43.96,36.97,45.79,48.46,39.51,31.49,36.25,37.34,44.38,45.44,25.66,6317594,7,3553600
2022,5,4,39.33,43.71,36.7,46.46,49.05,38.89,31.75,35.73,38.18,43.38,44.33,25.85,6318742,6.1,3567900
2022,6,4,38.82,45.77,37.68,46.3,48.96,38.6,33.34,34.78,36.5,45.36,45.53,25.93,6319890,5.2,3599500
2022,7,4,39.23,45.12,37.07,46.89,49.17,38.9,35.38,35.05,36.83,43.53,44.67,26.14,6321038,5.1,3621700
2022,8,4,40.76,42.69,37.99,45.11,49.86,38.98,33.81,36.18,38.02,42.35,44.11,26.36,6322186,4.9,3624300
2022,9,4,38.22,46.16,39.01,45.88,48.47,40.05,33.56,35.62,37.44,41.84,43.71,26.44,6323334,4.4,3586400
2022,10,4,38.04,46.99,38.69,45.99,51.21,38.61,34.08,36.24,37.16,41.06,43.31,26.82,6324482,5.4,3561300
2022,11,4,37.81,45.45,39.42,46.45,51.75,39.09,32.86,35.79,38,42.01,44.57,26.59,6325630,6.4,3547100
2022,12,4,38.23,44.71,41.46,47.22,50.38,38.97,33.07,35.21,38.22,41.38,44.6,25.9,6326778,5.1,3568200
2023,1,4,38.78,44.01,44.17,47.91,50.57,38.98,34.97,34.76,37.57,41.64,44.39,27.04,6372000,5,3574100
2023,2,4,39.46,45.27,41.76,46.47,51.16,40.89,34.94,35.47,37.71,42.22,45.18,26.41,6373150,6.5,3594200
2023,3,4,39.1,43.42,42.02,48.33,49.15,40.64,32.9,33.81,37.11,44.21,46.6,26.48,6374298,6.3,3613500
2023,4,4,40.16,44.61,42.33,47.82,50.57,42.14,32.97,33.78,38.04,41.69,44.56,26.56,6375446,5.4,3640100
2023,5,4,38.85,45.24,43.53,49.03,51.16,42.44,33.31,34.32,37.84,41.52,45.51,27.19,6376594,5.1,3668000
2023,6,4,38.07,45.88,44.72,49.03,49.15,42.14,34.23,35.22,38.89,41.93,44.24,26.91,6377742,4.6,3709900
2023,7,4,38.42,45.77,43.89,49.5,47.49,42.3,34.02,36.5,39.2,43.34,46.19,26.56,6378890,4.6,3738900
2023,8,4,37.68,45.35,44.57,48.49,48.71,43.56,34.66,35.37,39.31,43.55,45.97,26.34,6380038,5.9,3733000
2023,9,4,38.92,45.93,44.41,48.75,50.4,44.19,35.58,34.17,40.35,42.82,44.96,26.63,6381186,6.7,3698600
2023,10,4,38.87,46.15,41.71,47.89,51.8,43.26,33.58,35.76,39.83,43.41,45.31,26.38,6382334,5.1,3677300
2023,11,4,39.86,43.92,42.57,47.52,49.67,40.89,36.23,34.6,39.53,41.27,43.7,27.84,6383482,4.6,3673400
2023,12,4,40.06,46.15,43.02,47.89,47.74,40.99,37.19,34.37,40.47,42,44.11,28.66,6384630,6.1,3676100
2021,1,5,34.52,44.66,36.99,44.84,49.61,39.52,31.08,29.52,36.53,40.14,41.98,24.82,571000,6.7,312300
2021,2,5,37.18,42.37,38.15,43.47,48.46,38.76,32.33,31.06,35.84,40.91,42.27,24.37,571077,5.6,311800
2021,3,5,37.65,40.97,37.19,42.38,49.05,38.84,33.37,31.79,36.25,39.73,41.34,25.23,571155,5.5,312300
2021,4,5,37.73,41,34.88,43.64,48.96,38.04,32.69,30.89,36.71,38.26,40.61,25.27,571232,5,317100
2021,5,5,37.63,41.93,35.76,43.48,49.17,38.21,31.18,32.56,35.32,41.35,42.61,25.29,571309,3.6,318400
2021,6,5,36.57,41.19,37.54,42.4,49.86,38.89,30.95,31.08,34.27,39.55,41.6,25.8,571387,6.7,320500
2021,7,5,37.33,40.34,35.87,43.53,48.47,39.73,31.57,29.8,36.35,39.36,41.02,25.62,572464,4.6,320500
2021,8,5,37.4,42.18,36.52,43.92,51.21,39.8,32.04,32.69,35.86,40.28,42.18,25.58,573542,4.8,322200
2021,9,5,37.43,43.74,35.53,42.23,51.75,41.14,31.18,30.68,35.93,41.08,41.87,26.19,574619,4.7,324000
2021,10,5,37.91,44.28,38.19,42.78,50.38,38.3,32.75,34,36.65,41,42.18,26.73,575697,7.4,329200
2021,11,5,37.74,44.34,35.94,44.33,50.57,38.04,32.22,34.42,36.33,40.68,42.36,26.26,576774,6.1,335000
2021,12,5,38.14,44.88,35.8,45.38,51.16,38.39,31.9,35.52,36.38,43.54,43.06,25.65,577000,5.2,335300
2022,1,5,37.26,44.61,36.76,43.52,50.15,39.31,31.46,33.56,36.56,43.75,43.9,25.38,579067,5.7,331100
2022,2,5,38.23,43.9,36.43,44.35,50.57,39.51,31.85,35.1,37.37,43.24,44.15,24.84,579135,5,327600
2022,3,5,36.99,43.96,36.97,45.79,51.16,39.51,31.49,36.25,37.34,44.38,45.44,25.66,579203,4.1,325500
2022,4,5,39.33,43.71,36.7,46.46,50.15,38.89,31.75,35.73,38.18,43.38,44.33,25.85,579271,7.2,325600
2022,5,5,38.82,45.77,37.68,46.3,47.49,38.6,33.34,34.78,36.5,45.36,45.53,25.93,579339,4.7,327100
2022,6,5,39.23,45.12,37.07,46.89,48.71,38.9,35.38,35.05,36.83,43.53,44.67,26.14,579407,4.7,329800
2022,7,5,40.76,42.69,37.99,45.11,50.4,38.98,33.81,36.18,38.02,42.35,44.11,26.36,579475,4.7,334500
2022,8,5,38.22,46.16,39.01,45.88,51.8,40.05,33.56,35.62,37.44,41.84,43.71,26.44,579543,7.7,337400
