Year,Month,CityID,Aircraft_Movement_Rate,Fuel_Price,Passenger_Growth_Rate
2021,1,9,2.05,102.9,6.6
2021,2,9,-13.34,109.2,0.47
2021,3,9,19.42,115.9,0
2021,4,9,-2.18,122.7,0
2021,5,9,10.13,127.8,0
2021,6,9,3.39,127.1,0
2021,7,9,5.12,131.5,0
2021,8,9,6.86,131.8,0
2021,9,9,6.47,131.8,1.62
2021,10,9,1.23,141.2,2.74
2021,11,9,-5.56,138.7,4.9
2021,12,9,-6.27,130.7,9.1
2022,1,9,-7.73,138.5,14.43
2022,2,9,-4.28,147.1,16.74
2022,3,9,27.39,169.8,14.31
2022,4,9,-11.33,170.9,9
2022,5,9,19.9,183.1,5.5
2022,6,9,13.35,205.3,5.84
2022,7,9,-5.46,190.1,4.01
2022,8,9,2.11,169.9,3.76
2022,9,9,-7.03,169.2,4.28
2022,10,9,0.35,184.3,4.96
2022,11,9,-9.15,171.7,12.48
2022,12,9,-8,150.8,18.58
2023,1,9,2.46,147.2,23.56
2023,2,9,0.29,153.2,22.3
2023,3,9,12.28,151.5,22.14
2023,4,9,-7.44,162.4,14.97
2023,5,9,19.98,163,6.02
2023,6,9,-0.94,157.6,5.84
2023,7,9,5.05,157.5,6.11
2023,8,9,-0.27,163.3,6.44
2023,9,9,-5.37,163.4,7.6
2023,10,9,-7.7,155.9,8.71
2023,11,9,-4.56,151.6,17.26
2023,12,9,1.46,136.7,25.31
2021,1,1,-5.73,110.9,55.11
2021,2,1,-25.29,118.1,44.44
2021,3,1,24.02,123.8,42.89
2021,4,1,-9.95,125.9,45.92
2021,5,1,20.42,130.2,47.54
2021,6,1,6.5,132.6,43.21
2021,7,1,46.42,136.4,40.72
2021,8,1,23.46,137.2,38.39
2021,9,1,5.74,137.9,46.39
2021,10,1,7.97,145.3,57.33
2021,11,1,1,144.3,63.25
2021,12,1,4,137.7,62.97
2022,1,1,-18.29,146.1,63.02
2022,2,1,-9.21,157.5,65.06
2022,3,1,28.76,173,66.99
2022,4,1,13.01,174.3,65.36
