year,month,city_id,avg_temperature,wind_speed,precipitation,snow
2023,1,1,-10.88,30.77,6.96,60.22
2021,1,1,-5.01,30.7,59.36,29.1
2022,1,1,-4.905,30.53,59.28,28.95
2023,2,1,-4.44,31.23,51.68,29.23
2022,2,1,-4.43,31.01,50.09,27.96
2021,2,1,-4.335,30.96,49.37,27.45
2021,12,1,-1.44,29.54,56.53,24.14
2022,12,1,-1.31,29.6,57.31,23.93
2023,12,1,-1.275,29.79,59.37,23.84
2021,3,1,0.4,30.46,49.17,16.06
2022,3,1,0.45,30.56,47.42,15.75
2023,3,1,0.525,30.74,48.66,16.36
2021,11,1,3.965,28.61,65.86,8.49
2022,11,1,4.025,28.6,65.26,8.39
2023,11,1,4.11,28.66,63.53,8.37
2022,4,1,6.88,31.06,77.29,5.14
2021,4,1,6.91,30.99,79.27,5
2023,4,1,6.915,31.18,74.49,5.4
2021,10,1,10.115,27.36,64.36,0.25
2022,10,1,10.215,27.28,66.21,0.25
2023,10,1,10.315,27.26,65.23,0.23
2022,5,1,13.575,27.83,74.52,0.13
2021,5,1,13.67,27.78,76.58,0.12
2023,5,1,13.69,27.91,73.76,0.13
2021,9,1,17,25.26,66.69,0
2022,9,1,17.09,25.28,70.22,0
2023,9,1,17.205,25.3,68.25,0
2021,6,1,19.19,26.22,78.09,0
2022,6,1,19.25,26.32,79.94,0
2023,6,1,19.36,26.48,80.05,0
2021,8,1,21.15,24.63,68.81,0
2022,8,1,21.24,24.58,67.68,0
2023,8,1,21.4,24.68,65.23,0
2022,7,1,22.01,25.88,76.14,0
2021,7,1,22.02,25.89,75.16,0
2023,7,1,22.165,26.11,73.11,0
2021,1,2,-9.11,29.23,83.66,50.68
2023,1,2,-9.065,29.21,81.4,50.65
2022,1,2,-8.98,29.15,83.03,50.37
2022,2,2,-7.76,29,68.89,48.91
2023,2,2,-7.695,29.3,69.33,48.03
2021,2,2,-7.695,28.94,68.06,47.62
2021,12,2,-4.67,28.07,93.32,48.7
2022,12,2,-4.535,28.24,93.53,48.32
2023,12,2,-4.455,28.38,96.81,50.16
2021,3,2,-1.88,28.38,77.09,37.03
2022,3,2,-1.86,28.54,75.6,35.78
